pbds_code,item_id,title,card_name,set_name,card_number,edition,print_variant,grader,grade,grade_label,sold_price,currency,shipping,transaction_type,bid_count,created_at,seller,seller_feedback,seller_feedback_pct,cert_number,location,condition,returns_accepted,obo_min_price,current_bid,watchers,listing_url
TRK008-2000-1E-HOLO,2.98329E+11,2000 POKEMON TEAM ROCKET #8 DARK GYARADOS 1st Edition HOLO PSA 9,Dark Gyarados,Team Rocket,Aug-82,1st Edition,Holo,PSA,Mint 9,,364.99,USD,6.24,Buy It Now,,5/25/2026,moshrider14,308,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/298329362310
TRK031-2000-1E-HOLO,2.67622E+11,PSA 10 GEM MINT Dark Weezing 31/82 RARE Team Rocket 1ST EDITION Pokemon Card,Dark Weezing,Team Rocket,31/82,1st Edition,Holo,PSA,Gem Mint 10,Gem Mint,399.99,USD,0,Buy It Now,,4/23/2026,tca_gaming,109900,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/267621755860
TRK014-2000-1E-HOLO,2.67606E+11,CGC 10 GEM MINT Dark Weezing Team Rocket 1st Edition 14/82 Holo Pokemon Card,Dark Weezing,Team Rocket,14/82,1st Edition,Holo,CGC,Gem Mint 10,Gem Mint,399.99,USD,0,Best Offer,,4/30/2026,sergiocardsafari,1900,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/267606218361
TRK031-2000-1E-HOLO,1.7809E+11,Dark Weezing Pokemon 2000 Team Rocket 1st Edition 31/38 CGC 9.5,Dark Weezing,Team Rocket,31/82,1st Edition,Holo,CGC,Mint+ 9.5,,99.99,USD,6.24,Buy It Now,,5/26/2026,i_dont_have_an_addiction,698,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/178090013961
TRK014-2000-1E-HOLO,2.98289E+11,1st Edition Dark Weezing Holo 2000 Pokémon Rocket 1st Edition #14 PSA 9 Mint,Dark Weezing,Team Rocket,14/82,1st Edition,Holo,PSA,Mint 9,Mint,160,USD,5.89,Buy It Now,,5/12/2026,rainy_day_rips,278,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/298289448204
TRK006-2000-1E-HOLO,1.27881E+11,POKEMON DARK DUGTRIO 2000 ROCKET 1ST EDITION #6 HOLO PSA 9,Dark Dugtrio,Team Rocket,Jun-82,1st Edition,Holo,PSA,Mint 9,,300,USD,5.97,Best Offer,,5/23/2026,f3patsfan,56,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/127880928860
TRK014-2000-1E-HOLO,2.06248E+11,Dark Weezing Holo 14/82 1st Edition PSA 9 Rocket Pokemon Card Game,Dark Weezing,Team Rocket,14/82,1st Edition,Holo,PSA,Mint 9,,120,USD,9.45,Buy It Now,,5/23/2026,cseyler1530,1900,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/206247993664
TRK001-2000-1E-HOLO,3.6639E+11,2000 Pokémon Team Rocket Dark Alakazam 1st Edition Holo #1 PSA 9 1/82,Dark Alakazam,Team Rocket,Jan-82,1st Edition,Holo,PSA,Mint 9,,474.99,USD,5.72,Best Offer,,5/25/2026,p8tonfnmanning,12,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/366390086938
TRK014-2000-1E-HOLO,8.00043E+11,Pokemon 1st Edition Team Rocket Dark Weezing Holo 8/82 - PSA 8 NM-MT,Dark Weezing,Team Rocket,14/82,1st Edition,Holo,PSA,NM-MT 8,NM-MT,100,USD,5.97,Buy It Now,,5/25/2026,squeemeister,74,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/800042747258
TRK018-2000-1E-STD,1.5793E+11,2000 Pokemon Dark Alakazam Team Rocket 1st Edition Rare #18 PSA 10 Gem Mint,Dark Alakazam,Team Rocket,18/82,1st Edition,Standard,PSA,Gem Mint 10,Gem Mint,400,USD,6.24,Best Offer,,5/21/2026,mvd-collectables,6,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/157929660988
